states,confirmed_cases,active_cases,discharged,deaths,Latitude,Longitude
Abia,2177,1,2142,34,5.532003041,7.486002487
Adamawa,1203,68,1103,32,10.2703408,13.2700321
Akwa Ibom,4670,40,4586,44,5.007996056,7.849998524
Anambra,2825,46,2760,19,6.210433572,7.06999711
Bauchi,1967,1,1942,24,11.68040977,10.19001339
Bayelsa,1334,13,1293,28,4.66403,6.036987
Benue,2129,340,1764,25,7.190399596,8.129984089
Borno,1629,5,1580,44,10.62042279,12.18999467
Cross River,842,8,809,25,4.960406513,8.330023558
Delta,5441,160,5170,111,5.890427265,5.680004434
Ebonyi,2064,28,2004,32,6.177973,7.959286
Edo,7718,11,7386,321,6.340477314,5.620008096
Ekiti,2006,52,1926,28,7.630372741,5.219980834
Enugu,2952,13,2910,29,6.867034321,7.383362995
FCT,28851,111,28491,249,9.083333149,7.533328002
Gombe,3307,83,3158,66,10.29044293,11.16995357
Imo,2648,8,2582,58,5.492997053,7.026003588
Jigawa,669,2,649,18,11.7991891,9.350334607
Kaduna,11315,3,11223,89,11.0799813,7.710009724
Kano,5099,38,4934,127,11.99997683,8.5200378
Katsina,2418,0,2381,37,11.5203937,7.320007689
Kebbi,480,10,454,16,12.45041445,4.199939737
Kogi,5,0,3,2,7.800388203,6.739939737
Kwara,4640,401,4175,64,8.490010192,4.549995889
Lagos,101683,2852,98062,769,6.443261653,3.391531071
Nasarawa,2742,358,2345,39,8.490423603,8.5200378
Niger,1148,130,998,20,10.4003587,5.469939737
Ogun,5810,11,5717,82,7.160427265,3.350017455
Ondo,5173,315,4749,109,7.250395934,5.199982054
Osun,3311,36,3183,92,7.629959329,4.179992634
Oyo,10232,1,10029,202,7.970016092,3.590002806
Plateau,10259,1,10183,75,9.929973978,8.890041055
Rivers,16960,169,16637,154,4.810002257,7.010000772
Sokoto,818,0,790,28,13.06001548,5.240031289
Taraba,1473,62,1377,34,7.870409769,9.780012572
Yobe,634,1,624,9,11.74899608,11.96600457
Zamfara,375,0,366,9,12.1704057,6.659996296
